period,user_id,daily_pageviews
2018-09-25T00:00:00Z,1644,28
2018-09-27T00:00:00Z,1644,18
2018-10-01T00:00:00Z,1644,1
2018-10-04T00:00:00Z,1644,17
2018-10-18T00:00:00Z,1644,10
2018-10-25T00:00:00Z,1644,1
2018-09-21T00:00:00Z,1749,2
2018-09-22T00:00:00Z,1749,6
2018-09-26T00:00:00Z,1749,40
2018-09-27T00:00:00Z,1749,14
2018-09-28T00:00:00Z,1749,12
2018-09-30T00:00:00Z,1749,12
2018-10-01T00:00:00Z,1749,6
2018-10-02T00:00:00Z,1749,1
2018-10-03T00:00:00Z,1749,2
2018-10-04T00:00:00Z,1749,53
2018-10-07T00:00:00Z,1749,1
2018-10-16T00:00:00Z,1749,2
2018-10-17T00:00:00Z,1749,6
2018-10-18T00:00:00Z,1749,31
2018-11-16T00:00:00Z,1749,16
2018-09-21T00:00:00Z,1769,14
2018-09-27T00:00:00Z,1769,3
2018-09-28T00:00:00Z,1769,1
2018-10-02T00:00:00Z,1769,34
2018-10-04T00:00:00Z,1769,27
2018-10-05T00:00:00Z,1769,1
2018-10-09T00:00:00Z,1769,27
2018-10-10T00:00:00Z,1769,8
2018-10-11T00:00:00Z,1769,3
2018-10-16T00:00:00Z,1769,17
2018-10-17T00:00:00Z,1769,11
2018-10-18T00:00:00Z,1769,7
2018-10-19T00:00:00Z,1769,6
2018-10-21T00:00:00Z,1769,1
2018-10-22T00:00:00Z,1769,7
2018-10-24T00:00:00Z,1769,1
2018-09-19T00:00:00Z,1778,43
2018-09-20T00:00:00Z,1778,26
2018-09-24T00:00:00Z,1778,8
2018-09-26T00:00:00Z,1778,9
2018-09-28T00:00:00Z,1778,4
2018-09-30T00:00:00Z,1778,17
2018-10-01T00:00:00Z,1778,7
